# Dados DNS Gerados
# Total de domínios: 1000
# Formato: domínio -> ip1,ip2,ip3...

mlhand.org -> 13.237.219.187
newdeborahtown-online.com -> 168.250.251.183,87.46.22.187
zimmermanchesterarea.com -> 108.82.65.234,158.241.159.135
steven.petersen.org -> 148.160.163.96
portsarah.edu -> 126.230.207.133,119.111.114.37,152.65.92.90
great-institute.com -> 84.205.8.57
courtai.com -> 27.90.185.224,165.114.7.36,126.141.115.19
newstacylandlocal.org -> 118.128.186.198,23.176.187.209
hannahbrewer.gov -> 16.141.65.190,78.46.162.175,47.146.79.208
beckwood.net -> 6.192.3.224
barajasside.org -> 61.10.41.149,125.1.111.247,115.20.211.68
wilsonherrera.com -> 181.236.191.95,99.223.163.130,125.33.202.105
portjamesburyarea.com -> 51.88.90.47,72.25.239.107,124.55.213.171
ai-on.edu -> 40.20.246.144,159.106.142.124
curtis762.com -> 62.163.64.234,21.230.78.163,195.2.137.177
yeahassociation.org -> 211.166.154.17
moralesinc.net -> 131.110.84.192
center-civil.com -> 108.220.130.161
apibed.net -> 199.60.165.174
digital-open.com -> 183.56.212.57
standcyber.edu -> 15.53.78.166,217.131.234.181,221.184.249.88
focuscloud.info -> 131.218.208.52
sys-poor.com -> 203.153.103.95,200.212.198.90
westdonna-local.com -> 106.199.240.183,5.64.148.44
ortizltd.com -> 146.163.254.4,82.112.79.121
apiseat.edu -> 126.232.118.203,78.240.106.97,214.84.136.246
wilsonbury.info -> 145.0.31.86,172.146.63.82
martinllc.com -> 146.120.152.143,30.255.146.224
riskcode.com -> 57.194.179.23
yes-digital.net -> 125.249.165.116
leftweb.com -> 66.141.20.63,218.80.117.88
wrightdavisandhayden.biz -> 172.42.124.151
underwoodjohnstonand.net -> 111.19.95.34,213.206.194.81
grahamolsenandcosta.info -> 29.17.48.7
morrisgarcia.org -> 110.150.25.41
ruleml.org -> 28.208.129.60
teach-center.org -> 177.44.159.119,26.16.134.72,120.237.104.77
hancockbryan.net -> 93.145.5.63
foundation-job.com -> 87.39.100.159
cyberprevent.com -> 190.37.51.17,182.131.140.146
joseph-anderson.edu -> 63.5.132.163,79.80.166.79
moorepierceandtran.net -> 71.66.242.111,19.194.72.92
collierjimenezandmor.com -> 12.95.242.200,62.225.69.230
foundation-marriage.org -> 114.80.116.24
sys-identify.com -> 97.23.145.175,216.215.4.203,189.71.53.84
apigrow.com -> 206.35.43.107,174.67.65.21
association-she.net -> 63.86.68.113,222.74.29.195
reedside-city.edu -> 188.18.26.210,26.76.0.3,215.164.75.134
reyeschaseandjenkins.com -> 62.69.62.42,152.102.23.85
ai-imagine.com -> 196.155.193.127,17.47.67.194
cardinstitute.com -> 13.79.217.173,222.22.253.13,93.62.79.69
center-administration.net -> 189.30.139.121
bookerjonesandharrin.com -> 123.46.11.188
debra738.org -> 169.97.72.75
ml-free.com -> 159.58.136.17
turninstitute.org -> 4.140.32.45
lakegabrielle-city.org -> 46.143.34.156
southtiffanyville-city.net -> 25.149.57.224
well-institute.net -> 84.194.141.247
westmichaelchester.com -> 110.151.195.146,1.92.48.106
eastchristianarea.com -> 215.180.224.174
tyler-aguilar.com -> 116.16.74.139
scotttown-local.com -> 222.227.90.202
institute-wear.edu -> 42.28.69.204,86.29.191.66
evanshaydenandvaughn.org -> 25.170.251.16,103.137.237.6
digitaltonight.biz -> 23.151.48.106
idev.com -> 146.239.146.191
phillipsspenceandbar.com -> 124.50.56.167,223.229.48.158,174.74.32.40
stand-foundation.com -> 165.163.27.76,115.10.199.215,136.192.253.177
lakedebbieportarea.com -> 160.136.169.62,136.105.13.19
believe-cloud.edu -> 218.116.123.171,181.158.215.238,103.118.163.91
association-nice.com -> 12.92.69.163,174.14.70.84,223.107.76.35
francismorgan.info -> 68.209.180.106
donaldlevy.com -> 220.183.152.78
diazgibbsandsmith.com -> 7.163.102.219,48.199.64.167
carsonstad-region.com -> 78.246.240.39
market-society.org -> 84.254.14.10,215.21.112.169,157.182.143.40
debraville-local.com -> 66.97.174.250
kevin.vasquez.com -> 72.174.184.67
association-important.edu -> 29.105.124.130,137.227.180.3,211.43.47.107
dev-these.org -> 29.15.73.10,206.60.232.102
association-alone.com -> 141.231.191.27
wallaceyoung.gov -> 55.130.106.123,6.222.144.100
southjoshuaville.com -> 201.209.161.110,77.147.36.70,129.93.235.170
portmatthewberg.biz -> 163.72.133.164,77.66.16.252
peace-association.net -> 115.186.92.210
kimtown-region.com -> 124.148.41.21,197.0.171.126
dev-success.com -> 104.105.152.115
smithandsons.edu -> 129.2.142.171
web-contain.edu -> 121.3.153.251,179.163.3.221
skill-dev.com -> 92.176.138.133
starsys.org -> 38.250.189.171,23.22.239.128
techyoung.com -> 147.77.233.78,16.255.47.160
ml-ask.net -> 198.115.104.49
parksfort-local.com -> 190.49.169.160,69.43.171.215
franklinjones.com -> 125.76.253.105,50.223.154.207
shawn-jacobs.org -> 71.82.143.96,169.55.11.192
hayesperez.com -> 61.6.32.66,38.21.226.235,52.0.98.222
scottmckayandmcdanie.com -> 18.235.80.61
marie-davis.com -> 87.217.114.51
cloudtask.com -> 67.214.186.116
hoffman614.net -> 39.210.163.40
gomezortega.com -> 177.165.114.61,195.63.242.154,45.157.131.57
clear-digital.edu -> 142.90.7.32
association-throw.biz -> 87.134.30.201,81.212.15.199
audrey458.com -> 170.26.226.72,145.29.221.16
eastjoshuaport-region.info -> 219.59.149.122,73.43.8.76,1.205.51.155
chad.figueroa.edu -> 194.93.245.185,182.226.94.90
society-however.info -> 53.209.61.101
ericcollins.com -> 37.111.239.165,212.250.130.182,104.203.211.192
representfoundation.com -> 92.91.246.130,159.21.20.215,154.129.252.132
lewishunt.net -> 39.24.209.106,63.36.253.179
alison-parker.com -> 112.224.99.12,83.74.116.106
saundersllc.edu -> 39.173.210.213,91.143.218.14,110.21.84.102
newangelica-region.org -> 150.170.172.203,66.181.20.140,30.182.78.138
willsys.org -> 84.9.47.113
institute-parent.com -> 28.241.8.65,154.187.127.113,57.236.12.160
burchandsons.com -> 167.92.142.144,174.229.19.6
kiminc.com -> 118.104.62.16,14.85.15.116,218.221.74.246
docenter.com -> 42.194.175.183
aiball.com -> 9.211.13.153
ainice.com -> 13.151.10.133,41.115.192.16
joel-thomas.com -> 97.57.19.203,178.105.75.69
webcost.com -> 201.249.249.208,30.93.110.142,148.175.113.152
edwardlandcity.biz -> 25.176.180.122,160.230.20.188
he-sys.com -> 12.247.110.56
devmain.com -> 17.210.11.22
home-center.biz -> 172.157.37.36,133.199.106.254
foundation-possible.edu -> 152.155.92.103,17.80.14.221,22.6.14.198
jacobsmason.info -> 202.230.170.247,85.250.226.108
institute-send.edu -> 75.11.52.138
benjamin.zimmerman.org -> 196.162.142.93,50.26.237.175,53.167.206.172
harpermccormickandho.com -> 70.12.98.168,3.139.215.124
johnathanbergcity.com -> 41.13.41.158,217.237.107.25,195.145.93.111
carry-society.com -> 133.108.9.76,56.27.131.135,149.5.194.133
association-tax.info -> 69.251.34.39,155.25.23.5,8.74.172.27
himsociety.net -> 45.181.85.37
mezatucker.com -> 114.51.119.187
eric881.biz -> 160.154.157.28,136.99.27.135,137.223.70.250
commercialfoundation.com -> 97.83.6.50,177.101.237.171
item-digital.org -> 47.51.177.219,195.35.196.37,190.93.158.45
foundation-east.com -> 12.243.148.154
mckeeboroughcity.com -> 60.50.191.118
main-api.org -> 188.56.76.139
roseburchandmontoya.info -> 162.54.225.96
turndev.com -> 119.176.127.211,211.72.106.64
seek-cloud.org -> 170.127.171.135,42.66.142.174
shannonhavenregion.net -> 110.255.227.59
benefitml.edu -> 200.227.93.238,165.151.230.132
foundation-wonder.com -> 67.104.143.151,55.238.252.44
joevang.biz -> 33.205.211.33
fromfoundation.com -> 206.174.172.181,162.51.155.161,94.60.179.154
devsafe.org -> 175.192.188.207,16.43.4.140
smithandsons.com -> 175.98.211.100
daniel.roberts.com -> 35.14.83.177,119.80.86.95,95.253.51.177
candice.smith.com -> 11.222.250.132
westruben-online.edu -> 143.101.103.143
ashley.lopez.com -> 151.20.33.200,65.77.40.64,62.22.177.116
bradley.hughes.org -> 33.10.28.222
heavy-foundation.net -> 165.132.79.159,113.168.155.113
mosscookandwilliams.com -> 5.102.149.32,175.183.140.53,192.91.234.4
portdennis.com -> 190.165.79.164
westjamesboroughonline.net -> 218.25.92.101,207.47.144.23,197.228.194.232
benjaminborough-city.org -> 35.15.56.161
sys-tree.com -> 145.124.97.134
capitaldev.com -> 166.253.192.186
paul640.com -> 220.95.100.218
terrifort-area.com -> 151.130.156.170,216.136.249.213
acostainc.net -> 21.198.76.172
manuelland-local.com -> 50.235.195.215
followsociety.com -> 29.162.190.45
compare-digital.com -> 150.127.190.239
likelydev.edu -> 86.144.84.236
boltonhillandwhitney.net -> 200.76.215.151
sullivan62.biz -> 200.146.52.199,168.224.88.48
martinezandsons.com -> 187.184.246.124,34.18.153.224,156.203.136.5
hospitalsys.biz -> 36.235.176.221,151.124.27.163
foundation-information.com -> 49.214.13.158
enjoyapp.com -> 203.134.162.65,191.248.43.11
hugheshoffmanandgree.net -> 123.145.247.163,100.36.141.200
rulesys.org -> 223.183.233.120,102.138.252.99
tonight-foundation.com -> 75.12.205.67,222.62.89.209,198.209.208.129
region-center.com -> 36.39.246.59
devoil.net -> 6.102.79.175,169.44.145.58,163.150.126.96
gallowayandsons.net -> 119.231.131.140
agree-cloud.com -> 55.156.61.151
association-manage.com -> 162.19.138.254
cherylmiller.org -> 62.162.114.250
cloud-never.com -> 58.52.40.170
eastteresaland-online.com -> 27.6.67.220
portkimberlyregion.org -> 139.165.72.181
specialai.com -> 195.187.0.73
wesley-oneill.com -> 173.57.96.44
api-fly.com -> 109.41.158.80
sarah-perez.com -> 201.34.221.143,171.0.158.173,98.50.19.98
weberplc.com -> 137.222.81.161,109.102.227.203
williamsshieldsandmi.edu -> 201.15.1.245,154.169.91.155
southpamelasideregion.org -> 51.85.130.143
meeting-tech.com -> 118.127.90.224,36.171.151.8,138.29.253.118
less-sys.com -> 61.185.107.158,102.147.29.226,52.111.174.3
jessica447.com -> 193.66.243.199
soon-center.com -> 38.203.183.182
johnvilleonline.com -> 121.251.188.229,67.61.29.251,56.149.233.40
center-treat.biz -> 143.227.169.2,203.84.113.9
lisa.peck.com -> 182.19.30.246
kathrynjimenez.com -> 15.250.235.116,223.234.117.17,89.42.225.70
cloud-mouth.org -> 23.180.12.142,100.45.43.170,82.1.190.1
harperfortcity.com -> 32.133.250.131,168.220.162.144
center-cloud.net -> 219.180.115.78,187.181.194.64
answer-association.com -> 44.117.59.130,50.120.115.68
hughesgroup.com -> 184.243.120.198
beckerwilsonandheste.org -> 53.179.146.208,3.118.97.132
someoneai.com -> 89.176.83.114,8.185.144.3,85.80.137.247
linda330.com -> 106.60.138.253,52.98.203.200,108.201.169.242
personal-dev.biz -> 63.89.165.199
jeanne41.biz -> 165.228.203.40,39.3.194.247
silvatown-local.com -> 144.254.115.90
reality-soft.org -> 183.72.8.187
setfoundation.com -> 94.191.172.69,110.21.66.118
center-choose.edu -> 173.240.4.192,71.8.135.58,99.135.63.58
robertchester-local.com -> 154.67.159.152,15.139.178.42
center-turn.org -> 168.31.227.85
newjared-online.org -> 62.157.161.85,13.5.33.112
institute-consumer.net -> 26.244.87.201,6.29.105.235,140.78.14.93
westangelaonline.org -> 116.195.7.124,182.162.5.10
bushstewartandbailey.com -> 206.48.10.129
keith350.com -> 7.40.0.161,162.87.247.89,50.104.137.16
stephaniemiller.com -> 216.52.201.253,182.216.250.223
portamandaonline.com -> 206.44.71.224,79.80.101.191,115.156.89.223
dana.williams.com -> 62.59.221.153,72.204.66.138,74.27.180.228
delgadofortlocal.com -> 22.97.241.124,185.49.28.131
brewer455.com -> 210.220.220.184,142.220.178.27
appnor.com -> 177.49.140.22,213.154.33.115,43.64.31.65
sysworld.com -> 220.180.45.245,162.251.33.230,206.80.212.15
under-cloud.net -> 83.24.219.165,134.222.3.183
codewithout.edu -> 197.35.100.33
foundation-look.com -> 197.249.196.45
rosalesgroup.net -> 124.115.89.172,61.94.218.202
scottlopezanddoyle.com -> 163.23.48.75,110.124.227.120,174.159.152.3
society-before.com -> 38.26.202.32,97.31.249.30
thomas-boyle.info -> 88.140.123.156,116.69.155.214
girl-data.com -> 32.187.92.243,122.224.92.216,131.249.216.82
region-institute.com -> 83.162.183.18
collection-institute.com -> 51.231.16.9,146.225.229.103,46.34.100.218
apidiscuss.net -> 202.244.212.66,109.250.94.10
milesfort.com -> 182.253.58.92
becker963.com -> 133.61.92.244
neverinstitute.com -> 27.147.189.220
newdanielside.com -> 214.120.17.126,137.151.46.118,111.17.199.103
lakejamieshire.org -> 30.65.100.233,167.65.66.59
davidperry.org -> 1.236.188.217
remembercode.com -> 160.89.43.250
scotttownarea.net -> 178.86.66.5,86.12.194.204
brownmcknightandmich.com -> 94.54.106.34,90.42.224.58
couple-digital.net -> 189.115.154.227
haneyreyes.com -> 220.20.115.58,40.130.231.170
daltonwilsonandhaney.net -> 40.38.116.96,183.32.71.59
they-institute.com -> 65.116.126.216
tiffany851.biz -> 189.146.116.242,11.172.180.58
johnreed.net -> 124.115.141.139,90.212.214.134,129.0.87.59
harrisinc.com -> 156.146.125.139
carla-warner.info -> 66.212.198.76,46.255.106.41
portmichelle-region.com -> 82.131.74.220,117.26.58.194
participant-center.edu -> 148.133.198.252
turnerandsons.net -> 196.226.89.7,49.156.31.53
api-ask.gov -> 2.179.86.29
connie509.com -> 27.5.114.61,207.12.154.204,165.25.137.77
foundation-same.com -> 41.140.200.6,43.196.172.84
karen-wells.com -> 168.153.250.31
towardcenter.org -> 157.162.52.71,221.52.167.105
digital-keep.com -> 2.137.79.156,48.81.217.65,102.80.247.214
winassociation.com -> 27.223.221.233,76.48.217.213,88.35.133.39
jacobswilliamsandjon.com -> 163.120.230.81,26.167.164.196
association-floor.org -> 202.7.217.209,101.97.74.201,203.79.4.55
julie870.com -> 214.139.95.38
industrycenter.info -> 218.74.171.142
kimberly-james.com -> 13.191.134.243,55.4.106.219,15.244.217.8
garciafortlocal.com -> 186.63.89.223
who-institute.com -> 103.64.110.161
williamsburyregion.com -> 176.132.223.153,123.87.51.44,44.142.103.254
girl-app.org -> 115.238.130.152,26.205.83.156,123.232.178.45
tammymay.com -> 21.98.43.134,187.69.6.246,111.208.36.198
create-dev.org -> 209.225.34.11,9.48.117.21
portadamberg-area.gov -> 170.236.252.224,73.170.120.64,93.47.67.36
williamson371.com -> 158.236.209.30,129.1.191.209,90.83.94.192
alexander243.com -> 125.37.145.174,91.142.130.234
society-sure.com -> 205.111.35.116,70.42.1.187,11.219.2.35
harveyllc.com -> 164.70.246.77,161.67.169.175,57.252.90.99
data-machine.net -> 1.115.163.143,37.40.211.223,130.7.30.117
sullivangroup.com -> 4.114.236.99
smithjacksonandporte.com -> 26.153.196.215,1.48.211.68
institute-want.org -> 8.174.74.193
jerryvalenzuela.edu -> 158.110.152.194,124.76.33.229
return-institute.com -> 209.13.136.11,109.8.33.26
admitassociation.edu -> 203.164.233.188
hickmanport.org -> 107.216.249.95,1.199.63.136
mosleyriveraandcampo.com -> 69.4.245.147
brianchester.org -> 113.55.94.233,57.99.149.40
anthonyviewcity.com -> 190.106.232.60,27.98.206.43,7.0.223.222
lopezwillis.com -> 50.231.127.86,161.45.21.88
westericbergcity.com -> 186.34.58.99,37.219.120.135
